GEOID,total_pop,median_rent,median_income,median_age,educational_attainment_pop25,bachelor_degree,master_degree,professional_degree,doctoral_degree,white,african_american,tenure_owner,with_children,boardings,alightings
170314403002,1108.0,1089.0,95817.0,40.4,847.0,188.0,84.0,16.0,0.0,20.0,1088.0,376.0,94.0,93.0,143.0
170316913002,1265.0,944.0,23657.0,49.4,929.0,92.0,130.0,0.0,0.0,0.0,1265.0,239.0,43.0,147.0,248.0
170311512003,1192.0,1163.0,88438.0,41.3,912.0,199.0,99.0,0.0,17.0,880.0,21.0,411.0,166.0,65.0,47.0
170310812012,2043.0,1979.0,199338.0,34.8,1420.0,593.0,399.0,223.0,51.0,1673.0,115.0,324.0,18.0,790.0,473.0
170311007005,1298.0,1224.0,105809.0,34.3,961.0,358.0,111.0,9.0,0.0,1036.0,0.0,358.0,223.0,12.0,23.0
170311101001,1352.0,1145.3387096774193,95357.0,39.7,911.0,189.0,94.0,0.0,0.0,995.0,32.0,342.0,335.0,37.0,49.0
170311101003,474.0,1391.0,72375.0,51.6,347.0,49.0,15.0,0.0,0.0,431.0,0.0,104.0,25.0,12.0,18.0
170314212002,636.0,438.0,44375.0,47.2,495.0,47.0,24.0,0.0,0.0,18.0,594.0,83.0,70.0,58.0,87.0
170310311001,1927.0,1576.0,130909.0,37.7,1545.0,654.0,347.0,150.0,13.0,1385.0,48.0,291.0,228.0,81.0,66.0
170310311003,1662.0,1437.0,99414.0,41.4,1577.0,693.0,187.0,36.0,84.0,1379.0,64.0,267.0,26.0,119.0,177.0
170310312003,1671.0,830.0,30192.0,34.0,1284.0,167.0,159.0,4.0,0.0,1221.0,368.0,32.0,376.0,91.0,122.0
170310705001,992.0,1744.0,250001.0,34.0,749.0,352.0,204.0,32.0,0.0,929.0,49.0,246.0,119.0,0.0,0.0
170310705002,1147.0,1218.0,250001.0,49.1,933.0,227.0,213.0,86.0,12.0,930.0,145.0,219.0,143.0,40.0,93.0
170318133011,1261.0,857.0,34012.0,26.7,667.0,83.0,12.0,0.0,0.0,276.0,88.0,115.0,346.0,22.0,4.0
170311003005,733.0,1145.3387096774193,130994.0,48.6,492.0,78.0,40.0,0.0,16.0,711.0,0.0,257.0,183.0,16.0,6.0
170311003006,1459.0,1805.0,103176.0,72.1,1317.0,347.0,160.0,0.0,0.0,1378.0,36.0,350.0,41.0,25.0,52.0
170311005001,799.0,1145.3387096774193,85208.08522167488,40.1,552.0,112.0,48.0,13.0,0.0,708.0,15.0,298.0,212.0,88.0,143.0
170311006001,931.0,1145.3387096774193,102292.0,37.9,705.0,211.0,20.0,0.0,28.0,768.0,60.0,308.0,166.0,17.0,16.0
170311101004,1610.0,1121.0,101378.0,32.8,1004.0,145.0,120.0,14.0,0.0,1469.0,22.0,359.0,477.0,15.0,48.0
170311103002,1178.0,1688.0,82250.0,40.4,903.0,195.0,10.0,32.0,0.0,952.0,0.0,364.0,259.0,23.0,26.0
170318310002,1236.0,1884.0,231250.0,33.5,956.0,463.0,236.0,96.0,37.0,1113.0,19.0,349.0,182.0,35.0,48.0
170318369001,474.0,794.0,46375.0,33.4,287.0,48.0,8.0,0.0,6.0,17.0,436.0,46.0,94.0,160.0,198.0
170314607001,1250.0,580.0,85208.08522167488,15.6,432.0,10.0,0.0,0.0,0.0,118.0,975.0,52.0,582.0,36.0,69.0
170311801001,1025.0,1145.3387096774193,62391.0,51.9,831.0,58.0,28.0,0.0,16.0,926.0,0.0,323.0,39.0,84.0,21.0
170318318001,1464.0,1215.0,107715.0,39.2,1003.0,352.0,152.0,8.0,32.0,1067.0,0.0,227.0,384.0,37.0,59.0
170310601002,1273.0,1688.0,119625.0,34.3,865.0,415.0,186.0,66.0,30.0,1059.0,40.0,241.0,314.0,176.0,138.0
170317404002,752.0,1145.3387096774193,105682.0,35.5,521.0,84.0,47.0,10.0,0.0,752.0,0.0,248.0,124.0,2.0,18.0
170316706002,389.0,839.0,116797.0,42.6,306.0,29.0,0.0,0.0,0.0,0.0,389.0,83.0,0.0,37.0,91.0
170310307031,915.0,872.0,85208.08522167488,38.8,775.0,216.0,156.0,0.0,0.0,731.0,97.0,174.0,65.0,174.0,301.0
170310308001,809.0,967.0,85208.08522167488,45.7,772.0,156.0,270.0,82.0,0.0,574.0,19.0,118.0,12.0,81.0,26.0
170310308004,907.0,1364.0,183088.0,35.3,725.0,334.0,168.0,58.0,77.0,653.0,15.0,194.0,116.0,141.0,86.0
170310309004,537.0,1428.0,85208.08522167488,34.7,433.0,217.0,101.0,29.0,53.0,490.0,0.0,192.0,85.0,95.0,76.0
170318234001,1387.0,1239.0,51250.0,25.2,708.0,33.0,0.0,0.0,11.0,726.0,0.0,235.0,484.0,0.0,0.0
170315905001,1865.0,1037.0,76923.0,39.2,1350.0,153.0,66.0,2.0,24.0,685.0,42.0,382.0,216.0,102.0,92.0
170315906001,1883.0,1009.0,54850.0,27.2,1017.0,77.0,51.0,13.0,14.0,753.0,10.0,335.0,598.0,27.0,25.0
170315906003,781.0,879.0,57917.0,34.5,553.0,101.0,53.0,0.0,0.0,339.0,9.0,142.0,98.0,19.0,16.0
170318401001,1207.0,977.0,56875.0,38.9,1017.0,186.0,59.0,12.0,0.0,184.0,58.0,152.0,136.0,10.0,19.0
170316004001,1751.0,898.0,55417.0,36.3,1246.0,243.0,54.0,0.0,35.0,443.0,34.0,268.0,276.0,6.0,35.0
170316004002,890.0,1133.0,85208.08522167488,49.5,705.0,110.0,89.0,0.0,0.0,493.0,0.0,130.0,120.0,102.0,45.0
170313201002,3894.0,2514.0,225700.0,28.4,2910.0,1558.0,644.0,387.0,172.0,2977.0,55.0,226.0,129.0,402.0,402.0
170318344001,1014.0,1095.0,58816.0,37.3,691.0,77.0,7.0,20.0,0.0,7.0,1007.0,33.0,238.0,32.0,116.0
170314110003,1620.0,1549.0,93036.0,34.3,1072.0,284.0,154.0,15.0,210.0,606.0,717.0,337.0,185.0,130.0,246.0
170314111001,1039.0,1205.0,183906.0,38.4,680.0,127.0,210.0,72.0,222.0,698.0,45.0,298.0,193.0,29.0,285.0
170314111002,1291.0,1394.0,233125.0,21.0,589.0,84.0,153.0,88.0,216.0,947.0,90.0,135.0,173.0,114.0,177.0
170310511001,1732.0,1436.0,175508.0,33.1,1114.0,446.0,278.0,89.0,23.0,1458.0,23.0,359.0,559.0,96.0,147.0
170310814032,1465.0,1808.0,173750.0,30.7,1154.0,412.0,470.0,130.0,0.0,897.0,0.0,207.0,118.0,1322.0,1290.0
170312421003,1793.0,1530.0,157778.0,32.5,1392.0,743.0,336.0,50.0,55.0,1634.0,28.0,472.0,321.0,119.0,177.0
170312428001,1621.0,1520.0,103333.0,34.9,1194.0,360.0,223.0,60.0,14.0,1503.0,10.0,385.0,290.0,93.0,53.0
170312429002,622.0,1399.0,114500.0,34.0,471.0,182.0,119.0,0.0,12.0,411.0,76.0,91.0,105.0,68.0,70.0
170312430002,1306.0,1422.0,87432.0,33.5,1019.0,341.0,188.0,48.0,16.0,1050.0,8.0,256.0,146.0,60.0,36.0
170312804001,1585.0,1162.0,26625.0,30.1,952.0,121.0,80.0,0.0,6.0,220.0,1296.0,52.0,474.0,114.0,142.0
170312432002,1103.0,1606.0,173150.0,33.0,733.0,336.0,174.0,51.0,5.0,758.0,70.0,166.0,286.0,68.0,68.0
170318107022,657.0,847.0,95685.0,35.8,407.0,88.0,26.0,0.0,0.0,402.0,19.0,72.0,158.0,128.0,144.0
170318333001,2728.0,1631.0,154167.0,24.6,1329.0,483.0,304.0,128.0,84.0,1328.0,116.0,324.0,166.0,98.0,107.0
170318390001,2612.0,1957.0,136894.0,33.1,2100.0,1029.0,520.0,236.0,36.0,1933.0,280.0,478.0,184.0,37.0,92.0
170318133013,1329.0,913.0,42000.0,24.3,637.0,54.0,0.0,0.0,0.0,313.0,0.0,99.0,403.0,30.0,7.0
170315101002,1889.0,671.0,42731.0,36.5,1167.0,133.0,0.0,7.0,0.0,1367.0,335.0,334.0,518.0,5.0,4.0
170312518002,1277.0,896.0,85208.08522167488,25.6,665.0,64.0,26.0,0.0,0.0,9.0,1268.0,70.0,575.0,136.0,70.0
170312520001,664.0,633.0,85208.08522167488,58.6,510.0,129.0,0.0,0.0,0.0,0.0,664.0,63.0,73.0,141.0,134.0
170314908003,633.0,1043.0,85208.08522167488,44.5,520.0,51.0,121.0,0.0,0.0,27.0,593.0,171.0,40.0,79.0,77.0
170314909021,1005.0,788.0,76208.0,36.7,570.0,159.0,44.0,0.0,0.0,0.0,976.0,241.0,133.0,10.0,44.0
170318407002,552.0,924.0,55568.0,33.3,314.0,35.0,0.0,0.0,0.0,135.0,18.0,70.0,84.0,84.0,74.0
170316303001,2159.0,917.0,61037.0,31.1,1394.0,181.0,25.0,0.0,0.0,1142.0,0.0,285.0,413.0,36.0,52.0
170311002001,1309.0,898.0,172656.0,43.4,971.0,289.0,249.0,32.0,0.0,1092.0,0.0,390.0,272.0,11.0,15.0
170312210001,1283.0,1280.0,53958.0,32.5,937.0,332.0,110.0,5.0,5.0,1018.0,119.0,190.0,218.0,70.0,40.0
170311002002,887.0,1145.3387096774193,127273.0,39.3,712.0,166.0,77.0,0.0,0.0,807.0,0.0,271.0,139.0,11.0,2.0
170312423002,2027.0,1508.0,145368.0,32.6,1646.0,860.0,276.0,119.0,27.0,1837.0,3.0,406.0,268.0,127.0,216.0
170312505001,1274.0,1145.3387096774193,130382.0,33.9,813.0,143.0,66.0,52.0,49.0,531.0,304.0,283.0,312.0,14.0,29.0
170311001003,984.0,933.0,85208.08522167488,36.9,828.0,157.0,111.0,0.0,0.0,908.0,1.0,197.0,131.0,0.0,0.0
170314313022,843.0,941.0,31761.0,34.4,501.0,33.0,27.0,0.0,0.0,23.0,820.0,32.0,236.0,13.0,201.0
170314313012,1703.0,937.0,46602.0,28.9,1109.0,165.0,101.0,0.0,0.0,16.0,1625.0,129.0,371.0,0.0,0.0
170314313013,1191.0,802.0,36172.0,27.8,669.0,111.0,17.0,5.0,0.0,47.0,1101.0,53.0,303.0,515.0,95.0
