GEOID,total_pop,median_rent,median_income,median_age,pct_college_degree,pct_racial_minorities,pct_property_owner,pct_commuter_PuT,DistRes,DistOffice,dist_to_cbd
421010310007,1203.0,1351.0,69671.5965583174,34.0,0.22937853107344633,0.6118038237738985,0.6675675675675675,0.09181141439205956,4907.021846295469,11357.393107878563,17213.562511821252
421010310002,1185.0,1133.0,40938.0,33.7,0.2720306513409962,0.5350210970464135,0.4388059701492537,0.030816640986132512,4767.861147630134,11446.523896546782,17562.173933441827
421010311013,1139.0,1334.0,50507.0,36.3,0.10040160642570281,0.8314310798946445,0.6708860759493671,0.14874141876430205,5490.441582044338,11031.461702684404,15658.328332300029
421010302004,1898.0,1070.2311111111112,71335.0,30.5,0.14340712223291627,0.9473129610115911,0.6973365617433414,0.1695827725437416,6418.151835258409,10624.153362441339,13416.526946442067
421010390006,1492.0,1070.2311111111112,76932.0,27.2,0.16009280742459397,0.9537533512064343,0.5285359801488834,0.08235294117647059,5453.611954469332,10876.151975598743,14317.513509443135
421010390002,1771.0,1443.0,47832.0,40.3,0.1282051282051282,0.9141727837380011,0.6163069544364509,0.21394230769230768,5653.248969665056,10785.684559429907,14311.727906242279
421010390003,1105.0,958.0,34737.0,27.3,0.0,0.5601809954751131,0.7551020408163265,0.13679245283018868,5743.595180273495,10767.090382148326,14309.979418745275
421010390007,1291.0,1205.0,69671.5965583174,19.8,0.12974683544303797,0.7800154918667699,0.5614457831325301,0.4746666666666667,5929.436289848808,10676.409600557638,13755.10182702646
421010305011,1107.0,855.0,69671.5965583174,31.7,0.462015503875969,0.9060523938572719,0.5647321428571429,0.42,5110.134238997151,11026.47900816769,15070.131190896569
421010306001,1206.0,992.0,70278.0,63.2,0.24632352941176472,0.427860696517413,0.5711009174311926,0.044186046511627906,5086.329743872184,11157.977984846093,15922.539323771702
421010306005,433.0,814.0,93914.0,51.1,0.24468085106382978,0.43187066974595845,0.46996466431095407,0.04560260586319218,5057.346582007468,11203.137409693194,15662.847320353483
421010306006,1210.0,1070.2311111111112,65612.0,28.8,0.24850299401197604,0.671900826446281,0.9398496240601504,0.3397745571658615,5069.673190656189,11295.16593657596,16149.874658041084
